transaction_id,customer_id,name,email,phone,address,transaction_date,cart_id,shipping_method,total_amount,product_id,vendor_id,vendor,product_category,product_name,quantity,price
e0aee43a-9b32-4fdc-b5be-50bc8b662b60,cb4ef4b2-9114-461c-97cf-2d8452bab9ae,Alexandra Young,philiphale@example.net,576.791.5701,"504 Blake Junction Suite 379\nJohnsonburgh, ND 94508",2024-01-02T12:00:00+00:00,1d2e3f4a-5b6c-7d8e-9f0a-1b2c3d4e5f6a,Overnight,1627.42,573b0056-83ac-4bba-b6b7-97d47225fa34,9f8e7d6c-5b4a-3f2e-1d0c-9b8a7f6e5d4c,Boogie Office Equipment,Office Equipment,Desk Chair,3,157.49
e0aee43a-9b32-4fdc-b5be-50bc8b662b60,cb4ef4b2-9114-461c-97cf-2d8452bab9ae,Alexandra Young,philiphale@example.net,576.791.5701,"504 Blake Junction Suite 379\nJohnsonburgh, ND 94508",2024-01-02T12:00:00+00:00,1d2e3f4a-5b6c-7d8e-9f0a-1b2c3d4e5f6a,Overnight,1627.42,98117fc3-01c2-426b-aa50-c058a7b82e20,2b3c4d5e-6f7a-8b9c-d0e1-f2a3b4c5d6e7,Boogie Smart Home,Smart Home,Smart Thermostat,3,209.99
e0aee43a-9b32-4fdc-b5be-50bc8b662b60,cb4ef4b2-9114-461c-97cf-2d8452bab9ae,Alexandra Young,philiphale@example.net,576.791.5701,"504 Blake Junction Suite 379\nJohnsonburgh, ND 94508",2024-01-02T12:00:00+00:00,1d2e3f4a-5b6c-7d8e-9f0a-1b2c3d4e5f6a,Overnight,1627.42,f13fee3e-80cc-4be8-bd4f-cccf7f9240c1,2b3c4d5e-6f7a-8b9c-d0e1-f2a3b4c5d6e7,Boogie Smart Home,Smart Home,Smart Door Lock,2,262.49
170f8c30-ac07-4aa2-aab9-ddcb0bf39a84,39d3644a-10b9-4014-ac23-e9ca8c7dd010,Amanda Campbell,steven45@example.net,1-489-209-6587x7250,"766 Sandra Pass Suite 688\nTerriberg, NM 61918",2024-01-02T13:10:00+00:00,8c7b6a5d-4e3f-2c1a-0b9d-8c7b6a5e4f3d,Overnight,5129.95,b19e9be6-77d7-433d-b362-5614da0ba18c,a1b2c3d4-e5f6-7a8b-9c0d-e1f2a3b4c5d6,Discount Electronics,Electronics,Laptop,3,1139.99
170f8c30-ac07-4aa2-aab9-ddcb0bf39a84,39d3644a-10b9-4014-ac23-e9ca8c7dd010,Amanda Campbell,steven45@example.net,1-489-209-6587x7250,"766 Sandra Pass Suite 688\nTerriberg, NM 61918",2024-01-02T13:10:00+00:00,8c7b6a5d-4e3f-2c1a-0b9d-8c7b6a5e4f3d,Overnight,5129.95,89af6fc9-86c2-4dab-b8ae-c672343fd2ed,f1e2d3c4-b5a6-7f8e-9d0c-b1a2f3e4d5c6,Discount Home Appliances,Home Appliances,Dryer,2,854.99
a347d7a6-7392-425d-ba31-9916e67a8b9f,fc13f7f0-0884-4b99-a902-ae2c27227fa4,Amy Green,smithashley@example.net,1-875-215-3986,"683 Solomon Alley\nNew Joseph, FM 98966",2024-01-08T21:30:00+00:00,e1f2a3b4-c5d6-7e8f-9a0b-c1d2e3f4a5b6,Two-Day,56.99,79ef773b-ee06-48f1-af32-d000390416f0,3a4b5c6d-7e8f-9a0b-c1d2-e3f4a5b6c7d8,Discount Personal Care,Personal Care,Hair Dryer,1,56.99
d1cf11bf-c7da-42e8-b7b7-0bb17530d875,1dc38e31-ba79-4331-831c-778ddf50a30a,Charles Mccann Jr.,rosskristen@example.net,1-612-788-5933x698,"51363 Nicole Garden Suite 830\nTraceystad, WA 87882",2024-01-08T20:30:00+00:00,6b7c8d9e-0f1a-2b3c-4d5e-6f7a8b9c0d1e,Two-Day,524.98,264e13ec-d9b4-4038-a5db-8d1b8021fe16,9f8e7d6c-5b4a-3f2e-1d0c-9b8a7f6e5d4c,Boogie Office Equipment,Office Equipment,Office Desk,2,262.49
7e443f64-3427-44f8-a45c-bce5f037492e,2dbb96cd-b313-40f9-b3bc-9bd0d872c49c,Debra Mcdonald,pamela90@example.org,1-596-933-1534,Unit 1469 Box 7259\nDPO AE 74477,2024-01-12T23:40:00+00:00,9a8b7c6d-5e4f-3a2b-1c0d-9a8b7c6d5e4f,Two-Day,136.49,59f34c2f-0ddc-4603-a153-d8a029687608,6a7b8c9d-1e2f-3a4b-5c6d-7e8f9a0b1c2d,Boogie Fitness,Fitness,Fitness Tracker,1,136.49
0683a035-2a63-4055-94ea-06c012ff69b4,93bc7ad2-cce6-4ed0-8868-64849e8f8ece,Erin Mercer,cdiaz@example.org,(605)895-2275,"971 Richardson Harbors Apt. 495\nLake Timothyfurt, UT 25966",2024-01-15T00:50:00+00:00,2c3d4e5f-6a7b-8c9d-e0f1-a2b3c4d5e6f7,Two-Day,62.98,971a4be5-c05a-415d-abc0-05ce127820e7,6a7b8c9d-1e2f-3a4b-5c6d-7e8f9a0b1c2d,Boogie Fitness,Fitness,Yoga Mat,2,31.49
81a24605-29cb-44c4-810a-7d809851efa8,7b359854-4abb-47d3-a99e-aa286df95e64,Gina Smith,galvananthony@example.net,001-956-539-7244x0845,"2342 Walker Terrace\nValenciachester, KS 29265",2024-01-18T04:00:00+00:00,f2e1d0c3-b4a5-6f7e-8d9c-0b1a2f3e4d5c,Overnight,1049.98,f532f57f-9385-4a2f-84d3-50a51a2cee02,4d5e6f7a-8b9c-0d1e-2f3a-4b5c6d7e8f9a,Store Fitness,Fitness,Exercise Bike,2,524.99
